"draw","cumulative","peakDebt","breakEven","year10Cost","northGrowth","southGrowth","ukPensionShare","ukDebtShare","reratingScope","interestRate","taxMultiplier","investmentOutputReturn","oneOffTransitionCost"
"869","287.63","201.34","","12.17","4.2677","2.8272","52.5709","52.5709","53.3602","2.9178","0.4018","0.1025","3.8357"
"870","-34.96","20.93","11","1.4","4.8","2.5994","94.3931","94.3931","25","2.997","0.4702","0.1245","1.7762"
"871","367.83","257.48","","13.05","2.1485","2.1718","79.3697","79.3697","39.7545","3.8866","0.5985","0.0404","4.4312"
"872","228.53","159.97","","9.48","3.8523","2.7507","74.2241","74.2241","41.7388","3.062","0.4248","0.0903","4.1786"
"873","254.28","177.99","","10.07","3.1564","2.5079","74.7095","74.7095","31.0414","3.1358","0.4976","0.0699","1.8902"
"874","407.85","285.49","","14.86","2.7265","2.4228","65.0465","65.0465","51.9622","3.6287","0.5232","0.0573","5.1988"
"875","326.81","228.77","","12.44","3.1541","2.198","70.2743","70.2743","52.2834","4.0254","0.5906","0.0699","5.9695"
"876","100.69","70.48","","5.34","4.4812","2.9745","86.91","86.91","32.1674","2.708","0.3576","0.1088","3.7717"
"877","178.35","124.85","","9.13","4.8","2.3775","67.3952","67.3952","68.9069","4.1504","0.5367","0.1194","9.2411"
"878","237.53","166.27","","9.75","3.3131","2.0228","76.3156","76.3156","44.0155","4.1516","0.6432","0.0745","4.9596"
"879","145.2","101.64","","7.11","4.8","3.2199","74.5212","74.5212","40.2031","2.3829","0.284","0.1398","3.8806"
"880","339.89","237.93","","12.94","3.5642","2.7722","67.299","67.299","56.702","3.3011","0.4183","0.0819","6.5432"
"881","197.42","138.19","","7.55","3.1336","2.7174","96.3656","96.3656","28.731","3.1195","0.4348","0.0693","4.282"
"882","332.8","232.96","","11.98","2.7043","2.3343","83.0273","83.0273","47.8969","3.9224","0.5497","0.0567","6.7123"
"883","179.95","125.96","","7.53","3.1517","2.0778","88.1894","88.1894","32.5814","3.9708","0.6267","0.0698","4.0341"
"884","300.57","210.4","","12.79","4.0956","2.5251","47.8663","47.8663","53.3124","3.2604","0.4925","0.0975","3.1952"
"885","446.62","312.63","","16.22","2.4209","2.5368","59.0762","59.0762","47.6754","3.274","0.489","0.0483","3.4562"
"886","227.7","159.39","","9.12","3.3541","2.255","83.5161","83.5161","43.8168","3.9369","0.5735","0.0757","5.8801"
"887","261.8","183.26","","9.79","3.4228","3.3255","87.955","87.955","37.5349","2.3754","0.2523","0.0777","5.0925"
"888","119.96","83.97","","5.76","3.9014","2.5287","91.5186","91.5186","33.9772","3.4364","0.4914","0.0918","4.787"
"889","200.79","140.55","","7.75","3.0729","2.7915","93.9341","93.9341","25","2.7661","0.4126","0.0675","2.068"
"890","222.83","155.98","","9.46","3.8661","2.5549","72.7133","72.7133","43.9916","3.3646","0.4835","0.0907","4.4719"
"891","42.35","35.4","19","3.41","4.8","3.1684","92.1916","92.1916","25","2.2772","0.2995","0.1224","2.3263"
"892","267.35","187.14","","10.64","3.5441","2.6424","71.9847","71.9847","42.5265","3.1965","0.4573","0.0813","4.052"
"893","222.42","155.69","","8.84","3.1725","1.9877","87.6902","87.6902","46.2337","4.4284","0.6537","0.0704","6.9708"
"894","178.49","124.94","","7.19","3.0301","2.3695","92.5536","92.5536","25","3.394","0.5392","0.0662","2.4878"
"895","150.01","105.01","","6.09","3.7258","3.0059","100","100","30.7345","2.8385","0.3482","0.0866","5.3002"
"896","64.56","47.86","22","4.15","4.4677","2.6522","98.1071","98.1071","42.9129","3.5902","0.4543","0.1084","7.6352"
"897","89.94","63.77","24","5.3","4.2715","2.3804","89.145","89.145","42.8704","3.8265","0.5359","0.1026","6.4257"
"898","431.88","302.32","","16.56","3.1459","2.173","42.6479","42.6479","56.6274","3.748","0.5981","0.0696","3.2257"
"899","300.22","210.16","","10.99","2.6612","2.8558","84.3874","84.3874","31.0131","2.8039","0.3933","0.0554","3.18"
"900","211.55","148.08","","9.68","3.9047","2.0306","67.3253","67.3253","51.2732","4.1855","0.6408","0.0919","5.3524"
"901","184.88","129.42","","7.57","3.71","3.0196","87.0069","87.0069","28.6523","2.5596","0.3441","0.0862","3.0114"
"902","354.94","248.46","","14.57","3.9961","2.6057","40.8686","40.8686","57.2068","3.1405","0.4683","0.0946","3.1149"
"903","538.4","376.88","","19.59","2.7621","2.9673","43.6496","43.6496","66.433","2.9162","0.3598","0.0584","5.517"
"904","265.14","185.6","","9.23","2.2299","2.1243","100","100","32.5119","4.257","0.6127","0.0427","7.1155"
"905","351.54","246.08","","13.72","3.8707","2.4104","61.6335","61.6335","71.5278","4.0831","0.5269","0.0909","9.0462"
